source_image_key,x,y,canceled,sz_kind,cut_kind,porosity,pore_count,experience,image_hash
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",17,6,False,big,full,0.213473630675167,92792,4,96d32ea0ad6dd0027430d440345533260d54be4d628596e43a6f80a45fe155df
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",17,6,False,big,cropped,0.362087162162162,2113,4,364d9f2eb01f2b14dd74d0567b0ceeefb59c0dbb7dc71b40b6a752f747bae9d0
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",17,6,False,small,full,0.203979414259604,1510,4,8bba162dfb800925e7add02aea38ad6333015c2a623fcb392afe3fbd00fdfe98
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",17,6,False,small,cropped,0.340454054054054,102,4,2535ba0e9dda1c0b74d9a0dc2b7da12009a7786dff5957a15c722f0e7095ede6
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",24,3,False,big,full,0.255587447173189,80426,4,96d32ea0ad6dd0027430d440345533260d54be4d628596e43a6f80a45fe155df
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",24,3,False,big,cropped,0.362090540540541,2113,4,364d9f2eb01f2b14dd74d0567b0ceeefb59c0dbb7dc71b40b6a752f747bae9d0
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",24,3,False,small,full,0.245929200444246,1437,4,8bba162dfb800925e7add02aea38ad6333015c2a623fcb392afe3fbd00fdfe98
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",24,3,False,small,cropped,0.340454054054054,102,4,2535ba0e9dda1c0b74d9a0dc2b7da12009a7786dff5957a15c722f0e7095ede6
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",16,7,False,big,full,0.207241901051691,87493,4,96d32ea0ad6dd0027430d440345533260d54be4d628596e43a6f80a45fe155df
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",16,7,False,big,cropped,0.362027702702703,2114,4,364d9f2eb01f2b14dd74d0567b0ceeefb59c0dbb7dc71b40b6a752f747bae9d0
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",16,7,False,small,full,0.198859214173903,1657,4,8bba162dfb800925e7add02aea38ad6333015c2a623fcb392afe3fbd00fdfe98
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",16,7,False,small,cropped,0.340454054054054,102,4,2535ba0e9dda1c0b74d9a0dc2b7da12009a7786dff5957a15c722f0e7095ede6
"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",24,2,False,big,full,0.309911469142510,66378,1,955c560c37ed11c42db316f3a6d1cad49707f00e2d65c5f89049c291f7819f16
"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",24,2,False,big,cropped,0.236004974987126,1020,1,b1a075711c014e61cc95643ee4630a06dc8a2ff26b4d2936b3e7161584f2a85c
"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",24,2,False,small,full,0.293067927447073,1542,1,bd22ebc18d9f1c95431b24deab1b15d8bae3abe2256b669899e30c138d5cf3bb
"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",24,2,False,small,cropped,0.224968733907158,63,1,868f52a56ec5f471c10fd646083c2ff1dde4b4b9192d216f803a64341fca68c9
"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",27,5,False,big,full,0.282110658452252,97074,1,955c560c37ed11c42db316f3a6d1cad49707f00e2d65c5f89049c291f7819f16
"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",27,5,False,big,cropped,0.235999993869393,1020,1,b1a075711c014e61cc95643ee4630a06dc8a2ff26b4d2936b3e7161584f2a85c
"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",27,5,False,small,full,0.256718726789364,1692,1,bd22ebc18d9f1c95431b24deab1b15d8bae3abe2256b669899e30c138d5cf3bb
"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",27,5,False,small,cropped,0.224968733907158,63,1,868f52a56ec5f471c10fd646083c2ff1dde4b4b9192d216f803a64341fca68c9
72.53_jpeg_escal.jpg,22,18,False,big,full,0.096511416873354,40302,4,a5593218103380aa3fe785f2c1e230c5f8dd476e8eda214d53421b351b97448e
72.53_jpeg_escal.jpg,22,18,False,big,cropped,0.143852289814989,395,4,5ec735cc0ce36038ed47ed7677294d5b9f3f7f3338589463603cdacce9049cb8
72.53_jpeg_escal.jpg,22,18,False,small,full,0.081541593762635,2630,4,58c52e2561a180466e7fb4208aef59dedb5adae9e553b4efefc79d3a09977b0c
72.53_jpeg_escal.jpg,22,18,False,small,cropped,0.121479015064042,23,4,387678ed1e4353d87fb4667460187aabf4b2ed45661dcdc057d13c555bd330f3
72.53_jpeg_escal.jpg,25,19,False,big,full,0.091994408482669,35008,4,a5593218103380aa3fe785f2c1e230c5f8dd476e8eda214d53421b351b97448e
72.53_jpeg_escal.jpg,25,19,False,big,cropped,0.137564277275046,324,4,5ec735cc0ce36038ed47ed7677294d5b9f3f7f3338589463603cdacce9049cb8
72.53_jpeg_escal.jpg,25,19,False,small,full,0.075856331648043,2257,4,58c52e2561a180466e7fb4208aef59dedb5adae9e553b4efefc79d3a09977b0c
72.53_jpeg_escal.jpg,25,19,False,small,cropped,0.113342821084289,14,4,387678ed1e4353d87fb4667460187aabf4b2ed45661dcdc057d13c555bd330f3
72.53_jpeg_escal.jpg,24,20,False,big,full,0.086998584337280,30980,4,a5593218103380aa3fe785f2c1e230c5f8dd476e8eda214d53421b351b97448e
72.53_jpeg_escal.jpg,24,20,False,big,cropped,0.129999949652265,278,4,5ec735cc0ce36038ed47ed7677294d5b9f3f7f3338589463603cdacce9049cb8
72.53_jpeg_escal.jpg,24,20,False,small,full,0.070107379140323,1866,4,58c52e2561a180466e7fb4208aef59dedb5adae9e553b4efefc79d3a09977b0c
72.53_jpeg_escal.jpg,24,20,False,small,cropped,0.104320506968127,14,4,387678ed1e4353d87fb4667460187aabf4b2ed45661dcdc057d13c555bd330f3
72.53_jpeg_escal.jpg,26,21,False,big,full,0.080432747503538,29622,4,a5593218103380aa3fe785f2c1e230c5f8dd476e8eda214d53421b351b97448e
72.53_jpeg_escal.jpg,26,21,False,big,cropped,0.115650425606187,314,4,5ec735cc0ce36038ed47ed7677294d5b9f3f7f3338589463603cdacce9049cb8
72.53_jpeg_escal.jpg,26,21,False,small,full,0.063713293043793,1568,4,58c52e2561a180466e7fb4208aef59dedb5adae9e553b4efefc79d3a09977b0c
72.53_jpeg_escal.jpg,26,21,False,small,cropped,0.092720388818775,12,4,387678ed1e4353d87fb4667460187aabf4b2ed45661dcdc057d13c555bd330f3
72.53_jpeg_escal.jpg,29,19,False,big,full,0.091994408482669,35008,4,a5593218103380aa3fe785f2c1e230c5f8dd476e8eda214d53421b351b97448e
72.53_jpeg_escal.jpg,29,19,False,big,cropped,0.137564277275046,324,4,5ec735cc0ce36038ed47ed7677294d5b9f3f7f3338589463603cdacce9049cb8
72.53_jpeg_escal.jpg,29,19,False,small,full,0.075856331648043,2257,4,58c52e2561a180466e7fb4208aef59dedb5adae9e553b4efefc79d3a09977b0c
72.53_jpeg_escal.jpg,29,19,False,small,cropped,0.113342821084289,14,4,387678ed1e4353d87fb4667460187aabf4b2ed45661dcdc057d13c555bd330f3
72.53_jpeg_escal.jpg,27,22,False,big,full,0.067439920624615,40060,4,a5593218103380aa3fe785f2c1e230c5f8dd476e8eda214d53421b351b97448e
72.53_jpeg_escal.jpg,27,22,False,big,cropped,0.068952901372144,867,4,5ec735cc0ce36038ed47ed7677294d5b9f3f7f3338589463603cdacce9049cb8
72.53_jpeg_escal.jpg,27,22,False,small,full,0.053162514267721,1433,4,58c52e2561a180466e7fb4208aef59dedb5adae9e553b4efefc79d3a09977b0c
72.53_jpeg_escal.jpg,27,22,False,small,cropped,0.046722698101555,45,4,387678ed1e4353d87fb4667460187aabf4b2ed45661dcdc057d13c555bd330f3
72.53_jpeg_escal.jpg,29,18,False,big,full,0.096511416873354,40302,4,a5593218103380aa3fe785f2c1e230c5f8dd476e8eda214d53421b351b97448e
72.53_jpeg_escal.jpg,29,18,False,big,cropped,0.143852289814989,395,4,5ec735cc0ce36038ed47ed7677294d5b9f3f7f3338589463603cdacce9049cb8
72.53_jpeg_escal.jpg,29,18,False,small,full,0.081541593762635,2630,4,58c52e2561a180466e7fb4208aef59dedb5adae9e553b4efefc79d3a09977b0c
72.53_jpeg_escal.jpg,29,18,False,small,cropped,0.121479015064042,23,4,387678ed1e4353d87fb4667460187aabf4b2ed45661dcdc057d13c555bd330f3
"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",23,4,False,big,full,0.309114249858731,66381,3,955c560c37ed11c42db316f3a6d1cad49707f00e2d65c5f89049c291f7819f16
"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",23,4,False,big,cropped,0.210115033927057,2290,3,62429bc6369ee87582742481130b239ea3dc501da26782b0b8bbee6e60fbda14
"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",23,4,False,small,full,0.292728828058169,1543,3,bd22ebc18d9f1c95431b24deab1b15d8bae3abe2256b669899e30c138d5cf3bb
"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",23,4,False,small,cropped,0.187260390161154,138,3,73cbaf94d52487e12592ec2f7ca450f8763398062a83c64601ea38ef6575d33f
"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",30,2,False,big,full,0.309911469142510,66378,3,955c560c37ed11c42db316f3a6d1cad49707f00e2d65c5f89049c291f7819f16
"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",30,2,False,big,cropped,0.210115033927057,2290,3,62429bc6369ee87582742481130b239ea3dc501da26782b0b8bbee6e60fbda14
"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",30,2,False,small,full,0.293067927447073,1542,3,bd22ebc18d9f1c95431b24deab1b15d8bae3abe2256b669899e30c138d5cf3bb
"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",30,2,False,small,cropped,0.187260390161154,138,3,73cbaf94d52487e12592ec2f7ca450f8763398062a83c64601ea38ef6575d33f
"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",23,10,False,big,full,0.237861372477872,68667,1,955c560c37ed11c42db316f3a6d1cad49707f00e2d65c5f89049c291f7819f16
"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",23,10,False,big,cropped,0.286902674913331,839,1,a56f4ebe6efa92a497cd976d65bb1dd24c8c0178c9666ff0c1ca879dbe2f5100
"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",23,10,False,small,full,0.227480368604109,1314,1,bd22ebc18d9f1c95431b24deab1b15d8bae3abe2256b669899e30c138d5cf3bb
"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",23,10,False,small,cropped,0.279136463914277,48,1,a2e66b805d70dca3266d38ea6aacb0cba1b3d49f83721dbd668920cb50a52788
"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",29,16,False,big,full,0.215131839559099,41734,1,955c560c37ed11c42db316f3a6d1cad49707f00e2d65c5f89049c291f7819f16
"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",29,16,False,big,cropped,0.255940750078790,417,1,a56f4ebe6efa92a497cd976d65bb1dd24c8c0178c9666ff0c1ca879dbe2f5100
"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",29,16,False,small,full,0.205916311090394,871,1,bd22ebc18d9f1c95431b24deab1b15d8bae3abe2256b669899e30c138d5cf3bb
"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",29,16,False,small,cropped,0.242514970059880,24,1,a2e66b805d70dca3266d38ea6aacb0cba1b3d49f83721dbd668920cb50a52788
"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",17,6,False,big,full,0.257158494809035,77768,1,955c560c37ed11c42db316f3a6d1cad49707f00e2d65c5f89049c291f7819f16
"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",17,6,False,big,cropped,0.310716396155058,1175,1,a56f4ebe6efa92a497cd976d65bb1dd24c8c0178c9666ff0c1ca879dbe2f5100
"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",17,6,False,small,full,0.240768761877443,1728,1,bd22ebc18d9f1c95431b24deab1b15d8bae3abe2256b669899e30c138d5cf3bb
"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",17,6,False,small,cropped,0.294862905767412,78,1,a2e66b805d70dca3266d38ea6aacb0cba1b3d49f83721dbd668920cb50a52788
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",16,10,False,big,full,0.197534641061179,84538,4,96d32ea0ad6dd0027430d440345533260d54be4d628596e43a6f80a45fe155df
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",16,10,False,big,cropped,0.164717899871813,2341,4,c95589664c288f33ea7a68f6c340f7e9ebef2ef167140d4d420cdb2c8f2c93ea
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",16,10,False,small,full,0.191477337321055,1522,4,8bba162dfb800925e7add02aea38ad6333015c2a623fcb392afe3fbd00fdfe98
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",16,10,False,small,cropped,0.152186298248113,153,4,6acb6b92483ec59155b136715bbf7d1db6376a4cda70a56d37520b4a5d4d5094
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",18,13,False,big,full,0.188835393021548,78884,4,96d32ea0ad6dd0027430d440345533260d54be4d628596e43a6f80a45fe155df
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",18,13,False,big,cropped,0.157253129005840,1724,4,c95589664c288f33ea7a68f6c340f7e9ebef2ef167140d4d420cdb2c8f2c93ea
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",18,13,False,small,full,0.185466239910451,1446,4,8bba162dfb800925e7add02aea38ad6333015c2a623fcb392afe3fbd00fdfe98
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",18,13,False,small,cropped,0.149361439491051,137,4,6acb6b92483ec59155b136715bbf7d1db6376a4cda70a56d37520b4a5d4d5094
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",13,21,False,big,full,0.158396758314077,53174,4,96d32ea0ad6dd0027430d440345533260d54be4d628596e43a6f80a45fe155df
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",13,21,False,big,cropped,0.115459610751080,1268,4,c95589664c288f33ea7a68f6c340f7e9ebef2ef167140d4d420cdb2c8f2c93ea
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",13,21,False,small,full,0.141622067144144,1171,4,8bba162dfb800925e7add02aea38ad6333015c2a623fcb392afe3fbd00fdfe98
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",13,21,False,small,cropped,0.079202867587713,106,4,6acb6b92483ec59155b136715bbf7d1db6376a4cda70a56d37520b4a5d4d5094
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",11,21,False,big,full,0.158396758314077,53174,4,96d32ea0ad6dd0027430d440345533260d54be4d628596e43a6f80a45fe155df
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",11,21,False,big,cropped,0.115459610751080,1268,4,c95589664c288f33ea7a68f6c340f7e9ebef2ef167140d4d420cdb2c8f2c93ea
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",11,21,False,small,full,0.141622067144144,1171,4,8bba162dfb800925e7add02aea38ad6333015c2a623fcb392afe3fbd00fdfe98
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",11,21,False,small,cropped,0.079202867587713,106,4,6acb6b92483ec59155b136715bbf7d1db6376a4cda70a56d37520b4a5d4d5094
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",26,15,False,big,full,0.182197524730664,71756,4,96d32ea0ad6dd0027430d440345533260d54be4d628596e43a6f80a45fe155df
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",26,15,False,big,cropped,0.149109219959170,1586,4,c95589664c288f33ea7a68f6c340f7e9ebef2ef167140d4d420cdb2c8f2c93ea
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",26,15,False,small,full,0.179109714825406,1352,4,8bba162dfb800925e7add02aea38ad6333015c2a623fcb392afe3fbd00fdfe98
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",26,15,False,small,cropped,0.141337891088639,126,4,6acb6b92483ec59155b136715bbf7d1db6376a4cda70a56d37520b4a5d4d5094
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",22,16,False,big,full,0.178628382897574,68574,4,96d32ea0ad6dd0027430d440345533260d54be4d628596e43a6f80a45fe155df
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",22,16,False,big,cropped,0.144225990184209,1444,4,c95589664c288f33ea7a68f6c340f7e9ebef2ef167140d4d420cdb2c8f2c93ea
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",22,16,False,small,full,0.174410368077236,1363,4,8bba162dfb800925e7add02aea38ad6333015c2a623fcb392afe3fbd00fdfe98
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",22,16,False,small,cropped,0.133634809856146,133,4,6acb6b92483ec59155b136715bbf7d1db6376a4cda70a56d37520b4a5d4d5094
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",9,5,False,big,full,0.237106039735713,93124,5,96d32ea0ad6dd0027430d440345533260d54be4d628596e43a6f80a45fe155df
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",9,5,False,big,cropped,0.723205463015246,279,5,16f5c1fd18bc0c139667ed39b21a023ed4b93332138660c20794d8bd8c12ffc3
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",9,5,False,small,full,0.227484893004871,1518,5,8bba162dfb800925e7add02aea38ad6333015c2a623fcb392afe3fbd00fdfe98
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",9,5,False,small,cropped,0.725578769057030,14,5,1c350f7e440fcf94d046d1329bc4f86d32d4129a4c1f6b40a2509347998d19a1
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",7,6,False,big,full,0.213473630675167,92792,5,96d32ea0ad6dd0027430d440345533260d54be4d628596e43a6f80a45fe155df
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",7,6,False,big,cropped,0.723195537478825,279,5,16f5c1fd18bc0c139667ed39b21a023ed4b93332138660c20794d8bd8c12ffc3
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",7,6,False,small,full,0.203979414259604,1510,5,8bba162dfb800925e7add02aea38ad6333015c2a623fcb392afe3fbd00fdfe98
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",7,6,False,small,cropped,0.725578769057030,14,5,1c350f7e440fcf94d046d1329bc4f86d32d4129a4c1f6b40a2509347998d19a1
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",14,12,False,big,full,0.191916639671779,81812,5,96d32ea0ad6dd0027430d440345533260d54be4d628596e43a6f80a45fe155df
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",14,12,False,big,cropped,0.714339753317335,302,5,16f5c1fd18bc0c139667ed39b21a023ed4b93332138660c20794d8bd8c12ffc3
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",14,12,False,small,full,0.187590182858042,1509,5,8bba162dfb800925e7add02aea38ad6333015c2a623fcb392afe3fbd00fdfe98
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",14,12,False,small,cropped,0.723461321287408,14,5,1c350f7e440fcf94d046d1329bc4f86d32d4129a4c1f6b40a2509347998d19a1
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",12,20,False,big,full,0.162853298636594,56655,5,96d32ea0ad6dd0027430d440345533260d54be4d628596e43a6f80a45fe155df
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",12,20,False,big,cropped,0.676777112154150,189,5,16f5c1fd18bc0c139667ed39b21a023ed4b93332138660c20794d8bd8c12ffc3
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",12,20,False,small,full,0.149144957193203,1257,5,8bba162dfb800925e7add02aea38ad6333015c2a623fcb392afe3fbd00fdfe98
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",12,20,False,small,cropped,0.667631281761717,6,5,1c350f7e440fcf94d046d1329bc4f86d32d4129a4c1f6b40a2509347998d19a1
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",13,17,False,big,full,0.174915497656242,65339,5,96d32ea0ad6dd0027430d440345533260d54be4d628596e43a6f80a45fe155df
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",13,17,False,big,cropped,0.690696022727273,285,5,16f5c1fd18bc0c139667ed39b21a023ed4b93332138660c20794d8bd8c12ffc3
